date,channel_name,channel_input,subscribers
2026-04-28,MrBeast,@MrBeast,480000000
2026-04-28,MrBeast Gaming,@MrBeastGaming,56000000
2026-04-28,PewDiePie,@PewDiePie,110000000
2026-04-28,Markiplier,@Markiplier,38600000
2026-04-28,Dude Perfect,@DudePerfect,61900000
2026-04-28,Shylily,@Shylily,1010000
2026-04-28,PewDiePie,@PewDiePie,110000000
2026-04-28,Silvervale,@Silvervale,389000
2026-04-28,Minairy,@minairyyy,6200
2026-04-29,Shylily,@Shylily,1010000
2026-04-29,PewDiePie,@PewDiePie,110000000
2026-04-29,Silvervale,@Silvervale,389000
2026-04-29,Minairy,@minairyyy,6210
2026-04-30,Shylily,@Shylily,1010000
2026-04-30,PewDiePie,@PewDiePie,110000000
2026-04-30,Silvervale,@Silvervale,389000
2026-04-30,Minairy,@minairyyy,6240
2026-05-01,Shylily,@Shylily,1010000
2026-05-01,PewDiePie,@PewDiePie,110000000
2026-05-01,Silvervale,@Silvervale,389000
2026-05-01,Minairy,@minairyyy,6300
2026-05-02,Shylily,@Shylily,1010000
2026-05-02,PewDiePie,@PewDiePie,110000000
2026-05-02,Silvervale,@Silvervale,389000
2026-05-02,Minairy,@minairyyy,6350
2026-05-03,Shylily,@Shylily,1010000
2026-05-03,PewDiePie,@PewDiePie,110000000
2026-05-03,Silvervale,@Silvervale,389000
2026-05-03,Minairy,@minairyyy,6400
2026-05-04,Shylily,@Shylily,1010000
2026-05-04,PewDiePie,@PewDiePie,110000000
2026-05-04,Silvervale,@Silvervale,389000
2026-05-04,Minairy,@minairyyy,6440
2026-05-05,Shylily,@Shylily,1010000
2026-05-05,PewDiePie,@PewDiePie,110000000
2026-05-05,Silvervale,@Silvervale,389000
2026-05-05,Minairy,@minairyyy,6470
2026-05-06,Shylily,@Shylily,1010000
2026-05-06,PewDiePie,@PewDiePie,110000000
2026-05-06,Silvervale,@Silvervale,389000
2026-05-06,Minairy,@minairyyy,6490
2026-05-07,Shylily,@Shylily,1010000
2026-05-07,PewDiePie,@PewDiePie,110000000
2026-05-07,Silvervale,@Silvervale,389000
2026-05-07,Minairy,@minairyyy,6530
2026-05-08,Shylily,@Shylily,1010000
2026-05-08,PewDiePie,@PewDiePie,110000000
2026-05-08,Silvervale,@Silvervale,389000
2026-05-08,Minairy,@minairyyy,6550
2026-05-09,Shylily,@Shylily,1010000
2026-05-09,PewDiePie,@PewDiePie,110000000
2026-05-09,Silvervale,@Silvervale,389000
2026-05-09,Minairy,@minairyyy,6600
2026-05-10,Shylily,@Shylily,1010000
2026-05-10,PewDiePie,@PewDiePie,110000000
2026-05-10,Silvervale,@Silvervale,389000
2026-05-10,Minairy,@minairyyy,6630
2026-05-11,Shylily,@Shylily,1010000
2026-05-11,PewDiePie,@PewDiePie,110000000
2026-05-11,Silvervale,@Silvervale,389000
2026-05-11,Minairy,@minairyyy,6660
2026-05-12,Shylily,@Shylily,1010000
2026-05-12,PewDiePie,@PewDiePie,110000000
2026-05-12,Silvervale,@Silvervale,389000
2026-05-12,Minairy,@minairyyy,6730
2026-05-13,Shylily,@Shylily,1010000
2026-05-13,PewDiePie,@PewDiePie,110000000
2026-05-13,Silvervale,@Silvervale,389000
2026-05-13,Minairy,@minairyyy,6750
2026-05-14,Shylily,@Shylily,1010000
2026-05-14,PewDiePie,@PewDiePie,110000000
2026-05-14,Silvervale,@Silvervale,389000
2026-05-14,Minairy,@minairyyy,6750
2026-05-15,Shylily,@Shylily,1010000
2026-05-15,PewDiePie,@PewDiePie,110000000
2026-05-15,Silvervale,@Silvervale,390000
2026-05-15,Minairy,@minairyyy,6790
2026-05-16,Shylily,@Shylily,1010000
2026-05-16,PewDiePie,@PewDiePie,110000000
2026-05-16,Silvervale,@Silvervale,390000
2026-05-16,Minairy,@minairyyy,6800
2026-05-17,Shylily,@Shylily,1010000
2026-05-17,PewDiePie,@PewDiePie,110000000
2026-05-17,Silvervale,@Silvervale,390000
2026-05-17,Minairy,@minairyyy,6820
2026-05-18,Shylily,@Shylily,1010000
2026-05-18,PewDiePie,@PewDiePie,110000000
2026-05-18,Silvervale,@Silvervale,390000
2026-05-18,Minairy,@minairyyy,6870
2026-05-19,Shylily,@Shylily,1010000
2026-05-19,PewDiePie,@PewDiePie,110000000
2026-05-19,Silvervale,@Silvervale,390000
2026-05-19,Minairy,@minairyyy,6900
2026-05-20,Shylily,@Shylily,1010000
2026-05-20,PewDiePie,@PewDiePie,110000000
2026-05-20,Silvervale,@Silvervale,390000
2026-05-20,Minairy,@minairyyy,6960
2026-05-21,Shylily,@Shylily,1010000
2026-05-21,PewDiePie,@PewDiePie,110000000
2026-05-21,Silvervale,@Silvervale,390000
2026-05-21,Minairy,@minairyyy,7010
2026-05-22,Shylily,@Shylily,1010000
2026-05-22,PewDiePie,@PewDiePie,110000000
2026-05-22,Silvervale,@Silvervale,390000
2026-05-22,Minairy,@minairyyy,7040
2026-05-23,Shylily,@Shylily,1010000
2026-05-23,PewDiePie,@PewDiePie,110000000
2026-05-23,Silvervale,@Silvervale,390000
2026-05-23,Minairy,@minairyyy,7060
